"artist","caption","date","day_num","description","image_filepath","image_url","location","medium","mystery_name","mystery_type","original_title","original_title_ISO_code","original_title_language","style","subject","title"
"Gerard David","Gerard David's The Marriage at Cana","c. 1500","155","A detailed Early Netherlandish depiction of the wedding feast where Jesus transforms water into wine, his first public miracle.","June/jpgs/MarriageCana.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Gerard_David_-_The_Marriage_at_Cana.jpg/960px-Gerard_David_-_The_Marriage_at_Cana.jpg","Louvre Museum, Paris","Oil on wood","The Wedding at Cana","Luminous","Het Bruiloftsfeest te Kana","nl","Dutch","Early Netherlandish","Wedding at Cana where Jesus performs his first miracle","The Marriage at Cana"
"Lorenzo Lotto","The Adulterous Woman by Lorenzo Lotto","c. 1525-1530","156","A dramatic Renaissance scene showing Jesus protecting a woman from stoning, illustrating his mercy and the proclamation of forgiveness.","June/jpgs/AdulterousWoman.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Lorenzo_Lotto_-_The_adulterous_woman_-_Louvre.JPG/960px-Lorenzo_Lotto_-_The_adulterous_woman_-_Louvre.JPG","Louvre Museum, Paris","Oil on canvas","The Proclamation of the Kingdom of God","Luminous","Cristo e l'adultera","it","Italian","High Renaissance","Jesus saving the adulterous woman from stoning","Christ and the Adulteress"
"Raphael","Raphael's The Transfiguration","1516-1520","157","Raphael's masterpiece combining the Transfiguration of Christ with the healing of a possessed boy, showing divine glory and human need.","June/jpgs/TransfigurationRaphael.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Transfiguration_Raphael.jpg/960px-Transfiguration_Raphael.jpg","Vatican Museums, Vatican City","Tempera on wood","The Transfiguration","Luminous","La Trasfigurazione","it","Italian","High Renaissance","Transfiguration of Jesus on Mount Tabor","The Transfiguration"
"Juan de Juanes","The Last Supper by Juan de Juanes","c. 1562","158","A Spanish Renaissance depiction of the Last Supper emphasizing the institution of the Eucharist with Christ offering the consecrated host.","June/jpgs/JuandeJuanesLastSupper.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/%C3%9Altima_Cena_-_Juan_de_Juanes.jpg/960px-%C3%9Altima_Cena_-_Juan_de_Juanes.jpg","Museo del Prado, Madrid","Oil on panel","The Institution of the Eucharist","Luminous","La Última Cena","es","Spanish","Spanish Renaissance","Institution of the Eucharist at the Last Supper","The Last Supper"
"Alessandro Maganza","The Prayer of Jesus in Gethsemane by Alessandro Maganza","c. 1590-1610","159","Depicts Jesus praying in anguish while disciples sleep, capturing the moment of spiritual struggle before His Passion.","June/jpgs/Gethsemane.jpg","https://www.istockphoto.com/photo/vicenza-the-painting-of-prayer-of-jesus-in-gethsemane-garden-in-the-cathedral-by-gm1922845709-555481794","Vicenza Cathedral, Italy","Oil on canvas","The Agony in the Garden","Sorrowful","L'Orazione di Gesù nell'Orto del Getsemani","it","Italian","Mannerism","Christ's agony in the Garden of Gethsemane","The Prayer of Jesus in Gethsemane"
"Caravaggio (Michelangelo Merisi)","The Flagellation of Christ: Painting by Caravaggio","1607","160","Dramatic Baroque depiction of Christ bound to a column while Roman soldiers whip Him, emphasizing human suffering.","June/jpgs/Flagellation.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/The_Flagellation_of_Christ-Caravaggio_%281607%29.jpg/960px-The_Flagellation_of_Christ-Caravaggio_%281607%29.jpg","Museo di Capodimonte, Naples","Oil on canvas","The Scourging at the Pillar","Sorrowful","Flagellazione di Cristo","it","Italian","Baroque","Christ being scourged at the pillar","The Flagellation of Christ"
"Caravaggio (Michelangelo Merisi)","Caravaggio's Ecce Homo - Behold The Man","1605","161","Shows Christ crowned with thorns presented by Pilate who declares 'Behold the Man' to the mocking crowd.","June/jpgs/EcceHomo.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Caravaggio_%28Michelangelo_Merisi%29_-_Ecce_Homo_-_Google_Art_Project.jpg/960px-Caravaggio_%28Michelangelo_Merisi%29_-_Ecce_Homo_-_Google_Art_Project.jpg","Palazzo Bianco, Genoa","Oil on canvas","The Crowning with Thorns","Sorrowful","Ecce Homo","la","Latin","Baroque","Pontius Pilate presenting Christ to the crowd","Ecce Homo"
"Attributed to Caravaggio","The Lost Caravaggio - Ecce Homo","c. 1605","161","Recently rediscovered work showing the suffering Christ with crown of thorns, possibly by Caravaggio.","June/jpgs/EcceHomoTheLostOne.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Ecce_homo%28Caravaggio%29.jpg/500px-Ecce_homo%28Caravaggio%29.jpg","Private collection","Oil on canvas","The Crowning with Thorns","Sorrowful","Ecce Homo","la","Latin","Baroque","Christ presented to the people after being mocked","Ecce Homo"
"Orazio Gentileschi","Christ carrying the Cross (1605) by Orazio Gentileschi","1605","162","Depicts the exhausted Christ struggling under the weight of the cross on the road to Golgotha.","June/jpgs/christcarryingthecross.jpg","https://www.artchive.com/wp-content/uploads/2024/08/christ-carrying-the-cross-orazio-gentileschi-1605.jpg","","Oil on canvas","The Carrying of the Cross","Sorrowful","Cristo porta la croce","it","Italian","Baroque","Christ carrying His cross to Calvary","Christ Carrying the Cross"
"James Tissot","James Tissot's What Our Lord Saw From The Cross","1886-1894","163","Unique perspective showing the crowd below from Christ's viewpoint during the Crucifixion.","June/jpgs/viewfromcross.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Brooklyn_Museum_-_What_Our_Lord_Saw_from_the_Cross_%28Ce_que_voyait_Notre-Seigneur_sur_la_Croix%29_-_James_Tissot.jpg/960px-Brooklyn_Museum_-_What_Our_Lord_Saw_from_the_Cross_%28Ce_que_voyait_Notre-Seigneur_sur_la_Croix%29_-_James_Tissot.jpg","Brooklyn Museum, New York","Gouache on paper","The Crucifixion","Sorrowful","Ce que voyait Notre-Seigneur sur la Croix","fr","French","Realism","The view from Christ's perspective on the cross","What Our Lord Saw from the Cross"
"Caravaggio (Michelangelo Merisi)","Caravaggio's The Incredulity of St. Thomas","1601-1602","164","Shows the apostle Thomas physically verifying Christ's resurrection by touching His wounds.","June/jpgs/incredulity.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Der_ungl%C3%A4ubige_Thomas_-_Michelangelo_Merisi%2C_named_Caravaggio.jpg/960px-Der_ungl%C3%A4ubige_Thomas_-_Michelangelo_Merisi%2C_named_Caravaggio.jpg","Sanssouci Palace, Potsdam","Oil on canvas","The Resurrection","Glorious","Incredulità di San Tommaso","it","Italian","Baroque","Thomas touching Christ's wounds after Resurrection","The Incredulity of Saint Thomas"
"Bernardino Gandino","Ascension of the Lord by Bernardino Gandino","","165","Depicts the risen Christ ascending bodily into heaven while apostles watch in wonder below.","June/jpgs/ascensionofthelord.jpg","https://render.fineartamerica.com/images/rendered/default/print/5.5/8/break/images/artworkimages/medium/1/the-painting-ascension-of-the-lord-by-bernardino-gandino-jozef-sedmak.jpg","","Oil on canvas","The Ascension","Glorious","Ascensione del Signore","it","Italian","Renaissance","Christ ascending into heaven","Ascension of the Lord"
"Titian (Tiziano Vecelli)","Pentecost by Titian","1546","166","Shows the Holy Spirit descending as tongues of fire upon the Virgin Mary and apostles at Pentecost.","June/jpgs/PentecostTitian.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Pentecost%2C_by_Titian_%281546%29_-_Santa_Maria_della_Salute_-_Venice_2016.jpg/960px-Pentecost%2C_by_Titian_%281546%29_-_Santa_Maria_della_Salute_-_Venice_2016.jpg","Santa Maria della Salute, Venice","Oil on canvas","The Descent of the Holy Spirit","Glorious","Pentecoste","it","Italian","High Renaissance","Descent of the Holy Spirit upon the apostles","Pentecost"
"Cesare Mariani","Fresco of Assumption of Our Lady in the Vision of St Bonaventure in the church Chiesa di Santa Lucia del Gonfalone by Cesare Mariani (1863)","1863","167","Fresco depicting the Virgin Mary's bodily assumption into heaven as witnessed by St. Bonaventure.","June/jpgs/Assumption.jpg","https://as2.ftcdn.net/jpg/04/64/38/29/1000_F_464382946_EIK0RNI7i73omFzvLLXqQafxXBkZxLZB.jpg","Chiesa di Santa Lucia del Gonfalone, Rome","Fresco","The Assumption of Mary","Glorious","Assunzione della Vergine con Visione di San Bonaventura","it","Italian","Neoclassicism","Virgin Mary's assumption into heaven","Assumption of the Virgin with Vision of St. Bonaventure"
"Giuseppe Mattia Borgnis","Coronation of the Virgin, fresco by Giuseppe Mattia Borgnis","18th century","168","Baroque fresco depicting Mary being crowned by the Holy Trinity as Queen of Heaven, symbolizing her special role in salvation history.","June/jpgs/Coronation.jpg","https://images-cdn.bridgemanimages.com/api/1.0/image/600wm.XXX.8926670.7055475/763119.jpg","","Fresco","The Coronation of Mary","Glorious","Incoronazione della Vergine","it","Italian","Baroque","Coronation of Mary as Queen of Heaven","Coronation of the Virgin"
"Jan van Eyck","Jan van Eyck's The Annunciation portrays the angel Gabriel announcing to Mary, who humbly accepts God's will","1434-1436","169","Northern Renaissance masterpiece showing Archangel Gabriel announcing to Mary that she will bear the Son of God, with rich symbolic details.","June/jpgs/annunciationvaneyck.jpg","https://i.pinimg.com/736x/dc/d2/0b/dcd20b9d34dfc34ecf40a2a862594715.jpg","National Gallery of Art, Washington D.C.","Oil on panel","The Annunciation","Joyful","De Annunciatie","nl","Dutch","Northern Renaissance","Annunciation to the Virgin Mary","The Annunciation"
"","Basilica of the Visitation in Ein Karem, a village in the hill country of Judea where John the Baptist was born","","170","Artwork depicting Mary's visit to her cousin Elizabeth, both pregnant with Jesus and John the Baptist, showing mutual recognition of God's work.","June/jpgs/marygreetseliz.jpg","https://www.crossroadsinitiative.com/wp-content/uploads/2016/01/mary-greets-eliz-painting.jpg","Basilica of the Visitation, Ein Karem","","The Visitation","Joyful","","","","","Mary visiting Elizabeth","The Visitation"
"Caravaggio","Nativity with St. Francis and St. Lawrence by Caravaggio","1600","171","Caravaggio's dramatic Baroque depiction of Christ's birth with saints Francis and Lawrence, known for its chiaroscuro and emotional intensity.","June/jpgs/CaravaggioNativity.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Caravaggio-Nativity%281600%29.jpg/960px-Caravaggio-Nativity%281600%29.jpg","Stolen in 1969, current whereabouts unknown","Oil on canvas","The Nativity","Joyful","Natività con i Santi Francesco e Lorenzo","it","Italian","Baroque","Nativity of Jesus with saints","Nativity with St. Francis and St. Lawrence"
"Aert de Gelder","Simeon's Song of Praise by Arent de Gelder","1700-1710","172","Dutch Golden Age painting showing Simeon recognizing the infant Jesus as the Messiah during presentation in the Temple.","June/jpgs/SimeonSong.jpg","https://upload.wikimedia.org/wikipedia/commons/d/dc/Aert_de_Gelder_-_Het_loflied_van_Simeon.jpg","Mauritshuis, The Hague","Oil on canvas","The Presentation of Jesus in the Temple","Joyful","Het loflied van Simeon","nl","Dutch","Dutch Golden Age","Presentation of Jesus in the Temple","Simeon's Song of Praise"
"William Holman Hunt","Finding of the Savior in the Temple by William Holman Hunt","1860","173","Pre-Raphaelite masterpiece depicting twelve-year-old Jesus discussing with rabbis in the Temple, discovered by his worried parents.","June/jpgs/WilliamHolmanHuntFinding.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/William_Holman_Hunt_-_The_Finding_of_the_Saviour_in_the_Temple_-_Google_Art_Project.jpg/1024px-William_Holman_Hunt_-_The_Finding_of_the_Saviour_in_the_Temple_-_Google_Art_Project.jpg","Birmingham Museum and Art Gallery","Oil on canvas","The Finding of Jesus in the Temple","Joyful","The Finding of the Saviour in the Temple","en","English","Pre-Raphaelite","Finding of Jesus in the Temple","The Finding of the Saviour in the Temple"
